string_id,pfaf_id,gid_1,aqid,bws_score,bwd_score,iav_score,sev_score,gtd_score,rfr_score,cfr_score,drr_score,ucw_score,cep_score,udw_score,usa_score,rri_score,w_awr_def_qan_score,w_awr_def_qal_score,w_awr_def_rrr_score,w_awr_def_tot_score,w_awr_agr_qan_score,w_awr_agr_qal_score,w_awr_agr_rrr_score,w_awr_agr_tot_score,w_awr_che_qan_score,w_awr_che_qal_score,w_awr_che_rrr_score,w_awr_che_tot_score,w_awr_con_qan_score,w_awr_con_qal_score,w_awr_con_rrr_score,w_awr_con_tot_score,w_awr_elp_qan_score,w_awr_elp_qal_score,w_awr_elp_rrr_score,w_awr_elp_tot_score,w_awr_fnb_qan_score,w_awr_fnb_qal_score,w_awr_fnb_rrr_score,w_awr_fnb_tot_score,w_awr_min_qan_score,w_awr_min_qal_score,w_awr_min_rrr_score,w_awr_min_tot_score,w_awr_ong_qan_score,w_awr_ong_qal_score,w_awr_ong_rrr_score,w_awr_ong_tot_score,w_awr_smc_qan_score,w_awr_smc_qal_score,w_awr_smc_rrr_score,w_awr_smc_tot_score,w_awr_tex_qan_score,w_awr_tex_qal_score,w_awr_tex_rrr_score,w_awr_tex_tot_score
444037-MYS.10_1-2171,444037,MYS.10_1,2171,0.0,0.280568760777609,1.28922643985413,1.93994034382107,,3.65579826653,0.541536968724,2.85762619719167,5.0,1.1220449038819,0.735103258535,0.0,1.96,1.6851992967984,3.86558283767349,1.22499110732277,1.44688580917378,2.27647551679988,1.60054358092718,1.14836662006496,1.36969535515295,3.05286000186367,4.63188815389996,1.55064517208959,2.24368999905808,2.12879064535089,3.86558283601363,1.3552527375759,1.60799129780606,2.40216977311097,1.6005436127656,1.55064517208959,1.50686596889334,1.47182010915606,3.1542159205542,1.79488571484703,1.59947374771236,3.23558997190437,3.86558284929248,1.55064517208959,1.78572954651606,1.96901924324908,5.0,1.55064517208959,1.01504249454887,2.22777860088145,3.86558284929248,1.79488571548816,2.76244631352414,2.01794531249945,4.33739870144784,1.79488571933495,2.4158741552995
444037-MYS.2_1-2171,444037,MYS.2_1,2171,0.0,0.280568760777609,1.28922643985413,1.93994034382107,,3.65579826653,0.541536968724,2.85762619719167,5.0,1.1220449038819,0.735103258535,0.0,1.96,1.6851992967984,3.86558283767349,1.22499110732277,1.44688580917378,2.27647551679988,1.60054358092718,1.14836662006496,1.36969535515295,3.05286000186367,4.63188815389996,1.55064517208959,2.24368999905808,2.12879064535089,3.86558283601363,1.3552527375759,1.60799129780606,2.40216977311097,1.6005436127656,1.55064517208959,1.50686596889334,1.47182010915606,3.1542159205542,1.79488571484703,1.59947374771236,3.23558997190437,3.86558284929248,1.55064517208959,1.78572954651606,1.96901924324908,5.0,1.55064517208959,1.01504249454887,2.22777860088145,3.86558284929248,1.79488571548816,2.76244631352414,2.01794531249945,4.33739870144784,1.79488571933495,2.4158741552995
444037-MYS.3_1-2171,444037,MYS.3_1,2171,0.0,0.280568760777609,1.28922643985413,1.93994034382107,,3.65579826653,0.541536968724,2.85762619719167,5.0,1.1220449038819,0.735103258535,0.0,1.96,1.6851992967984,3.86558283767349,1.22499110732277,1.44688580917378,2.27647551679988,1.60054358092718,1.14836662006496,1.36969535515295,3.05286000186367,4.63188815389996,1.55064517208959,2.24368999905808,2.12879064535089,3.86558283601363,1.3552527375759,1.60799129780606,2.40216977311097,1.6005436127656,1.55064517208959,1.50686596889334,1.47182010915606,3.1542159205542,1.79488571484703,1.59947374771236,3.23558997190437,3.86558284929248,1.55064517208959,1.78572954651606,1.96901924324908,5.0,1.55064517208959,1.01504249454887,2.22777860088145,3.86558284929248,1.79488571548816,2.76244631352414,2.01794531249945,4.33739870144784,1.79488571933495,2.4158741552995
444037-MYS.3_1-2217,444037,MYS.3_1,2217,0.0,0.280568760777609,1.28922643985413,1.93994034382107,,3.65579826653,0.541536968724,2.85762619719167,5.0,1.1220449038819,0.735103258535,0.0,1.96,1.6851992967984,3.86558283767349,1.22499110732277,1.44688580917378,2.27647551679988,1.60054358092718,1.14836662006496,1.36969535515295,3.05286000186367,4.63188815389996,1.55064517208959,2.24368999905808,2.12879064535089,3.86558283601363,1.3552527375759,1.60799129780606,2.40216977311097,1.6005436127656,1.55064517208959,1.50686596889334,1.47182010915606,3.1542159205542,1.79488571484703,1.59947374771236,3.23558997190437,3.86558284929248,1.55064517208959,1.78572954651606,1.96901924324908,5.0,1.55064517208959,1.01504249454887,2.22777860088145,3.86558284929248,1.79488571548816,2.76244631352414,2.01794531249945,4.33739870144784,1.79488571933495,2.4158741552995
444037-MYS.3_1-None,444037,MYS.3_1,-9999,0.0,0.280568760777609,1.28922643985413,1.93994034382107,,3.65579826653,0.541536968724,2.85762619719167,5.0,1.1220449038819,0.735103258535,0.0,1.96,1.6851992967984,3.86558283767349,1.22499110732277,1.44688580917378,2.27647551679988,1.60054358092718,1.14836662006496,1.36969535515295,3.05286000186367,4.63188815389996,1.55064517208959,2.24368999905808,2.12879064535089,3.86558283601363,1.3552527375759,1.60799129780606,2.40216977311097,1.6005436127656,1.55064517208959,1.50686596889334,1.47182010915606,3.1542159205542,1.79488571484703,1.59947374771236,3.23558997190437,3.86558284929248,1.55064517208959,1.78572954651606,1.96901924324908,5.0,1.55064517208959,1.01504249454887,2.22777860088145,3.86558284929248,1.79488571548816,2.76244631352414,2.01794531249945,4.33739870144784,1.79488571933495,2.4158741552995
444037-MYS.9_1-2171,444037,MYS.9_1,2171,0.0,0.280568760777609,1.28922643985413,1.93994034382107,,3.65579826653,0.541536968724,2.85762619719167,5.0,1.1220449038819,0.735103258535,0.0,1.96,1.6851992967984,3.86558283767349,1.22499110732277,1.44688580917378,2.27647551679988,1.60054358092718,1.14836662006496,1.36969535515295,3.05286000186367,4.63188815389996,1.55064517208959,2.24368999905808,2.12879064535089,3.86558283601363,1.3552527375759,1.60799129780606,2.40216977311097,1.6005436127656,1.55064517208959,1.50686596889334,1.47182010915606,3.1542159205542,1.79488571484703,1.59947374771236,3.23558997190437,3.86558284929248,1.55064517208959,1.78572954651606,1.96901924324908,5.0,1.55064517208959,1.01504249454887,2.22777860088145,3.86558284929248,1.79488571548816,2.76244631352414,2.01794531249945,4.33739870144784,1.79488571933495,2.4158741552995
444038-MYS.16_1-2171,444038,MYS.16_1,2171,0.0,0.0930214821767812,1.32667723630117,1.81467245116282,,1.09823633374,0.0,2.54423901215883,5.0,0.982179319489424,2.41406227184,0.0,1.96,0.863163719829511,3.81426932343625,1.911681910084,1.34081585224548,1.54367088142682,1.45092645511838,1.87545100037816,1.22102605118358,1.20970922781683,4.61861152299516,2.04996740882529,1.50089181291666,0.931564438052653,3.81426932171653,1.97327445748935,1.29866579194226,1.32653761174219,1.45092648810512,2.04996740882529,0.903798329381484,0.910302965062128,3.07724564982693,2.1378481503718,1.47299099847391,1.74380684330556,3.8142693354743,2.04996740882529,1.38206349335714,0.655083425223527,5.0,2.04996740882529,1.14414731008545,1.13770005579538,3.8142693354743,2.13784815060249,2.49836726380812,0.88085505033187,4.31350076670022,2.13784815198661,2.31354536091774
444038-MYS.3_1-2171,444038,MYS.3_1,2171,0.0,0.0930214821767812,1.32667723630117,1.81467245116282,,1.09823633374,0.0,2.54423901215883,5.0,0.982179319489424,2.41406227184,0.0,1.96,0.863163719829511,3.81426932343625,1.911681910084,1.34081585224548,1.54367088142682,1.45092645511838,1.87545100037816,1.22102605118358,1.20970922781683,4.61861152299516,2.04996740882529,1.50089181291666,0.931564438052653,3.81426932171653,1.97327445748935,1.29866579194226,1.32653761174219,1.45092648810512,2.04996740882529,0.903798329381484,0.910302965062128,3.07724564982693,2.1378481503718,1.47299099847391,1.74380684330556,3.8142693354743,2.04996740882529,1.38206349335714,0.655083425223527,5.0,2.04996740882529,1.14414731008545,1.13770005579538,3.8142693354743,2.13784815060249,2.49836726380812,0.88085505033187,4.31350076670022,2.13784815198661,2.31354536091774
444038-MYS.3_1-2217,444038,MYS.3_1,2217,0.0,0.0930214821767812,1.32667723630117,1.81467245116282,,1.09823633374,0.0,2.54423901215883,5.0,0.982179319489424,2.41406227184,0.0,1.96,0.863163719829511,3.81426932343625,1.911681910084,1.34081585224548,1.54367088142682,1.45092645511838,1.87545100037816,1.22102605118358,1.20970922781683,4.61861152299516,2.04996740882529,1.50089181291666,0.931564438052653,3.81426932171653,1.97327445748935,1.29866579194226,1.32653761174219,1.45092648810512,2.04996740882529,0.903798329381484,0.910302965062128,3.07724564982693,2.1378481503718,1.47299099847391,1.74380684330556,3.8142693354743,2.04996740882529,1.38206349335714,0.655083425223527,5.0,2.04996740882529,1.14414731008545,1.13770005579538,3.8142693354743,2.13784815060249,2.49836726380812,0.88085505033187,4.31350076670022,2.13784815198661,2.31354536091774
444038-MYS.8_1-2171,444038,MYS.8_1,2171,0.0,0.0930214821767812,1.32667723630117,1.81467245116282,,1.09823633374,0.0,2.54423901215883,5.0,0.982179319489424,2.41406227184,0.0,1.96,0.863163719829511,3.81426932343625,1.911681910084,1.34081585224548,1.54367088142682,1.45092645511838,1.87545100037816,1.22102605118358,1.20970922781683,4.61861152299516,2.04996740882529,1.50089181291666,0.931564438052653,3.81426932171653,1.97327445748935,1.29866579194226,1.32653761174219,1.45092648810512,2.04996740882529,0.903798329381484,0.910302965062128,3.07724564982693,2.1378481503718,1.47299099847391,1.74380684330556,3.8142693354743,2.04996740882529,1.38206349335714,0.655083425223527,5.0,2.04996740882529,1.14414731008545,1.13770005579538,3.8142693354743,2.13784815060249,2.49836726380812,0.88085505033187,4.31350076670022,2.13784815198661,2.31354536091774
